Bitcoin,btc
Ethereum,eth
Cardano,ada
Binance Coin,bnb
XRP,xrp
Dogecoin,doge
Polkadot,dot
Solana,sol
Uniswap,uni
Terra,luna
Bitcoin Cash,bch
Chainlink,link
Litecoin,ltc
Polygon,matic
Stellar,xlm
VeChain,vet
Theta Network,theta
Filecoin,fil
TRON,trx
Avalanche,AVAX
Cosmos,atom
Aave,aave
FTX Token,ftt
EOS,eos
Monero,xmr
PancakeSwap,cake
The Graph,grt
Axie Infinity,axs
Shiba Inu,shib
NEO,neo
Algorand,algo
Maker,mkr
Tezos,xtz
Kusama,ksm
Amp,amp
LEO Token,leo
Elrond,egld
IOTA,miota
BitTorrent,btt
Sushi,sushi
Celsius Network,cel
Quant,qnt
Compound,comp
Waves,waves
Dash,dash
Helium,hnt
Near,near
XDC Network,xdc
Holo,hot
Chiliz,chz
NEM,xem
Theta Fuel,tfuel
Qtum,qtum
Flow,flow
Ravencoin,rvn
Arweave,ar
Zilliqa,zil
Fantom,ftm
Voyager Token,vgx
Basic Attention Token,bat
Bitcoin Gold,btg
BitClout,clout
Decentraland,mana
NEXO,nexo
SafeMoon,safemoon
